agestrat,COMscore,n,perc,cum_per,lag_tot,lag_cum_per
12,5,1,2.7027,5.4054,4,2.7027
12,6,1,2.7027,8.1081,5,5.4054
12,7,1,2.7027,10.8108,6,8.1081
12,8,3,8.1081,18.9189,7,10.8108
12,9,6,16.2162,35.1351,8,18.9189
12,10,9,24.3243,59.4595,9,35.1351
12,11,5,13.5135,72.973,10,59.4595
12,12,6,16.2162,89.1892,11,72.973
12,13,3,8.1081,97.2973,12,89.1892
12,17,1,2.7027,100,13,97.2973
14,7,2,4.6512,4.6512,NA,NA
14,8,3,6.9767,11.6279,7,4.6512
14,9,4,9.3023,20.9302,8,11.6279
14,10,5,11.6279,32.5581,9,20.9302
14,11,7,16.2791,48.8372,10,32.5581
14,12,5,11.6279,60.4651,11,48.8372
14,13,6,13.9535,74.4186,12,60.4651
14,14,1,2.3256,76.7442,13,74.4186
14,15,4,9.3023,86.0465,14,76.7442
14,16,3,6.9767,93.0233,15,86.0465
14,17,1,2.3256,95.3488,16,93.0233
14,18,2,4.6512,100,17,95.3488
16,9,3,9.0909,9.0909,NA,NA
16,10,3,9.0909,18.1818,9,9.0909
16,11,4,12.1212,30.303,10,18.1818
16,12,6,18.1818,48.4848,11,30.303
16,13,1,3.0303,51.5152,12,48.4848
16,14,7,21.2121,72.7273,13,51.5152
16,15,4,12.1212,84.8485,14,72.7273
16,17,1,3.0303,87.8788,15,84.8485
16,18,2,6.0606,93.9394,17,87.8788
16,19,2,6.0606,100,18,93.9394
18,9,1,2.9412,2.9412,NA,NA
18,10,1,2.9412,5.8824,9,2.9412
18,11,2,5.8824,11.7647,10,5.8824
18,12,3,8.8235,20.5882,11,11.7647
18,13,3,8.8235,29.4118,12,20.5882
18,14,6,17.6471,47.0588,13,29.4118
18,15,7,20.5882,67.6471,14,47.0588
18,16,5,14.7059,82.3529,15,67.6471
18,17,1,2.9412,85.2941,16,82.3529
18,18,3,8.8235,94.1176,17,85.2941
18,19,1,2.9412,97.0588,18,94.1176
18,20,1,2.9412,100,19,97.0588
20,9,1,2.6316,2.6316,NA,NA
20,10,2,5.2632,7.8947,9,2.6316
20,11,1,2.6316,10.5263,10,7.8947
20,12,3,7.8947,18.4211,11,10.5263
20,13,6,15.7895,34.2105,12,18.4211
20,14,3,7.8947,42.1053,13,34.2105
20,15,4,10.5263,52.6316,14,42.1053
20,16,3,7.8947,60.5263,15,52.6316
20,17,7,18.4211,78.9474,16,60.5263
20,18,3,7.8947,86.8421,17,78.9474
20,19,2,5.2632,92.1053,18,86.8421
20,21,2,5.2632,97.3684,19,92.1053
20,22,1,2.6316,100,21,97.3684
22,9,2,6.6667,6.6667,NA,NA
22,13,2,6.6667,13.3333,9,6.6667
22,14,3,10,23.3333,13,13.3333
22,15,1,3.3333,26.6667,14,23.3333
22,16,4,13.3333,40,15,26.6667
22,17,5,16.6667,56.6667,16,40
22,18,1,3.3333,60,17,56.6667
22,19,5,16.6667,76.6667,18,60
22,20,2,6.6667,83.3333,19,76.6667
22,21,3,10,93.3333,20,83.3333
22,22,2,6.6667,100,21,93.3333
24,4,1,1.4085,1.4085,NA,NA
24,5,1,1.4085,2.8169,4,1.4085
24,8,1,1.4085,4.2254,5,2.8169
24,11,1,1.4085,5.6338,8,4.2254
24,12,3,4.2254,9.8592,11,5.6338
24,13,4,5.6338,15.493,12,9.8592
24,14,3,4.2254,19.7183,13,15.493
24,15,2,2.8169,22.5352,14,19.7183
24,16,5,7.0423,29.5775,15,22.5352
24,17,6,8.4507,38.0282,16,29.5775
24,18,12,16.9014,54.9296,17,38.0282
24,19,9,12.6761,67.6056,18,54.9296
24,20,9,12.6761,80.2817,19,67.6056
24,21,4,5.6338,85.9155,20,80.2817
24,22,5,7.0423,92.9577,21,85.9155
24,23,2,2.8169,95.7746,22,92.9577
24,24,1,1.4085,97.1831,23,95.7746
24,25,1,1.4085,98.5915,24,97.1831
24,27,1,1.4085,100,25,98.5915
28,9,1,1.5625,1.5625,NA,NA
28,10,3,4.6875,6.25,9,1.5625
28,12,2,3.125,9.375,10,6.25
28,14,1,1.5625,10.9375,12,9.375
28,15,1,1.5625,12.5,14,10.9375
28,16,3,4.6875,17.1875,15,12.5
28,17,4,6.25,23.4375,16,17.1875
28,18,9,14.0625,37.5,17,23.4375
28,19,9,14.0625,51.5625,18,37.5
28,20,8,12.5,64.0625,19,51.5625
28,21,5,7.8125,71.875,20,64.0625
28,22,5,7.8125,79.6875,21,71.875
28,23,5,7.8125,87.5,22,79.6875
28,24,3,4.6875,92.1875,23,87.5
28,25,4,6.25,98.4375,24,92.1875
28,26,1,1.5625,100,25,98.4375
32,9,1,1.6949,1.6949,NA,NA
32,10,1,1.6949,3.3898,9,1.6949
32,12,2,3.3898,6.7797,10,3.3898
32,13,1,1.6949,8.4746,12,6.7797
32,16,3,5.0847,13.5593,13,8.4746
32,18,8,13.5593,27.1186,16,13.5593
32,19,3,5.0847,32.2034,18,27.1186
32,20,7,11.8644,44.0678,19,32.2034
32,21,7,11.8644,55.9322,20,44.0678
32,22,8,13.5593,69.4915,21,55.9322
32,23,7,11.8644,81.3559,22,69.4915
32,24,5,8.4746,89.8305,23,81.3559
32,25,2,3.3898,93.2203,24,89.8305
32,26,2,3.3898,96.6102,25,93.2203
32,27,2,3.3898,100,26,96.6102
36,3,1,1.1905,1.1905,NA,NA
36,7,2,2.381,3.5714,3,1.1905
36,10,1,1.1905,4.7619,7,3.5714
36,11,1,1.1905,5.9524,10,4.7619
36,12,1,1.1905,7.1429,11,5.9524
36,14,1,1.1905,8.3333,12,7.1429
36,15,1,1.1905,9.5238,14,8.3333
36,17,1,1.1905,10.7143,15,9.5238
36,18,3,3.5714,14.2857,17,10.7143
36,19,5,5.9524,20.2381,18,14.2857
36,20,7,8.3333,28.5714,19,20.2381
36,21,5,5.9524,34.5238,20,28.5714
36,22,13,15.4762,50,21,34.5238
36,23,12,14.2857,64.2857,22,50
36,24,11,13.0952,77.381,23,64.2857
36,25,5,5.9524,83.3333,24,77.381
36,26,9,10.7143,94.0476,25,83.3333
36,27,3,3.5714,97.619,26,94.0476
36,28,1,1.1905,98.8095,27,97.619
36,29,1,1.1905,100,28,98.8095
42,7,1,1.0753,1.0753,NA,NA
42,8,1,1.0753,2.1505,7,1.0753
42,10,1,1.0753,3.2258,8,2.1505
42,12,1,1.0753,4.3011,10,3.2258
42,13,2,2.1505,6.4516,12,4.3011
42,14,1,1.0753,7.5269,13,6.4516
42,15,1,1.0753,8.6022,14,7.5269
42,16,2,2.1505,10.7527,15,8.6022
42,18,3,3.2258,13.9785,16,10.7527
42,19,5,5.3763,19.3548,18,13.9785
42,20,3,3.2258,22.5806,19,19.3548
42,21,6,6.4516,29.0323,20,22.5806
42,22,9,9.6774,38.7097,21,29.0323
42,23,13,13.9785,52.6882,22,38.7097
42,24,9,9.6774,62.3656,23,52.6882
42,25,11,11.828,74.1935,24,62.3656
42,26,9,9.6774,83.871,25,74.1935
42,27,9,9.6774,93.5484,26,83.871
42,28,4,4.3011,97.8495,27,93.5484
42,29,2,2.1505,100,28,97.8495
48,16,1,1.087,1.087,NA,NA
48,17,1,1.087,2.1739,16,1.087
48,18,1,1.087,3.2609,17,2.1739
48,19,4,4.3478,7.6087,18,3.2609
48,20,8,8.6957,16.3043,19,7.6087
48,21,2,2.1739,18.4783,20,16.3043
48,22,4,4.3478,22.8261,21,18.4783
48,23,4,4.3478,27.1739,22,22.8261
48,24,12,13.0435,40.2174,23,27.1739
48,25,11,11.9565,52.1739,24,40.2174
48,26,15,16.3043,68.4783,25,52.1739
48,27,12,13.0435,81.5217,26,68.4783
48,28,7,7.6087,89.1304,27,81.5217
48,29,10,10.8696,100,28,89.1304
54,6,2,2.2222,2.2222,NA,NA
54,7,1,1.1111,3.3333,6,2.2222
54,11,1,1.1111,4.4444,7,3.3333
54,15,2,2.2222,6.6667,11,4.4444
54,17,4,4.4444,11.1111,15,6.6667
54,21,2,2.2222,13.3333,17,11.1111
54,22,2,2.2222,15.5556,21,13.3333
54,23,3,3.3333,18.8889,22,15.5556
54,24,10,11.1111,30,23,18.8889
54,25,7,7.7778,37.7778,24,30
54,26,10,11.1111,48.8889,25,37.7778
54,27,8,8.8889,57.7778,26,48.8889
54,28,17,18.8889,76.6667,27,57.7778
54,29,13,14.4444,91.1111,28,76.6667
54,30,4,4.4444,95.5556,29,91.1111
54,31,4,4.4444,100,30,95.5556
60,15,2,1.8692,1.8692,NA,NA
60,17,1,0.9346,2.8037,15,1.8692
60,19,2,1.8692,4.6729,17,2.8037
60,20,1,0.9346,5.6075,19,4.6729
60,21,3,2.8037,8.4112,20,5.6075
60,22,5,4.6729,13.0841,21,8.4112
60,23,2,1.8692,14.9533,22,13.0841
60,24,13,12.1495,27.1028,23,14.9533
60,25,6,5.6075,32.7103,24,27.1028
60,26,12,11.215,43.9252,25,32.7103
60,27,19,17.757,61.6822,26,43.9252
60,28,14,13.0841,74.7664,27,61.6822
60,29,13,12.1495,86.9159,28,74.7664
60,30,5,4.6729,91.5888,29,86.9159
60,31,9,8.4112,100,30,91.5888
66,13,1,1.0753,1.0753,NA,NA
66,15,1,1.0753,2.1505,13,1.0753
66,19,1,1.0753,3.2258,15,2.1505
66,20,1,1.0753,4.3011,19,3.2258
66,21,1,1.0753,5.3763,20,4.3011
66,22,2,2.1505,7.5269,21,5.3763
66,23,1,1.0753,8.6022,22,7.5269
66,24,2,2.1505,10.7527,23,8.6022
66,25,6,6.4516,17.2043,24,10.7527
66,26,11,11.828,29.0323,25,17.2043
66,27,14,15.0538,44.086,26,29.0323
66,28,14,15.0538,59.1398,27,44.086
66,29,19,20.4301,79.5699,28,59.1398
66,30,9,9.6774,89.2473,29,79.5699
66,31,9,9.6774,98.9247,30,89.2473
66,33,1,1.0753,100,31,98.9247
72,16,2,1.9048,1.9048,NA,NA
72,17,1,0.9524,2.8571,16,1.9048
72,19,1,0.9524,3.8095,17,2.8571
72,20,1,0.9524,4.7619,19,3.8095
72,21,1,0.9524,5.7143,20,4.7619
72,22,2,1.9048,7.619,21,5.7143
72,23,2,1.9048,9.5238,22,7.619
72,24,3,2.8571,12.381,23,9.5238
72,25,4,3.8095,16.1905,24,12.381
72,26,7,6.6667,22.8571,25,16.1905
72,27,11,10.4762,33.3333,26,22.8571
72,28,12,11.4286,44.7619,27,33.3333
72,29,17,16.1905,60.9524,28,44.7619
72,30,19,18.0952,79.0476,29,60.9524
72,31,15,14.2857,93.3333,30,79.0476
72,32,4,3.8095,97.1429,31,93.3333
72,34,3,2.8571,100,32,97.1429
78,21,1,1.1236,1.1236,NA,NA
78,23,4,4.4944,5.618,21,1.1236
78,24,3,3.3708,8.9888,23,5.618
78,25,4,4.4944,13.4831,24,8.9888
78,26,9,10.1124,23.5955,25,13.4831
78,27,5,5.618,29.2135,26,23.5955
78,28,11,12.3596,41.573,27,29.2135
78,29,19,21.3483,62.9213,28,41.573
78,30,19,21.3483,84.2697,29,62.9213
78,31,9,10.1124,94.382,30,84.2697
78,32,3,3.3708,97.7528,31,94.382
78,33,1,1.1236,98.8764,32,97.7528
78,34,1,1.1236,100,33,98.8764
84,22,3,2.459,2.459,NA,NA
84,23,5,4.0984,6.5574,22,2.459
84,24,6,4.918,11.4754,23,6.5574
84,25,4,3.2787,14.7541,24,11.4754
84,26,6,4.918,19.6721,25,14.7541
84,27,7,5.7377,25.4098,26,19.6721
84,28,6,4.918,30.3279,27,25.4098
84,29,19,15.5738,45.9016,28,30.3279
84,30,27,22.1311,68.0328,29,45.9016
84,31,20,16.3934,84.4262,30,68.0328
84,32,13,10.6557,95.082,31,84.4262
84,33,3,2.459,97.541,32,95.082
84,34,3,2.459,100,33,97.541
96,18,1,0.8264,0.8264,NA,NA
96,22,2,1.6529,2.4793,18,0.8264
96,23,1,0.8264,3.3058,22,2.4793
96,24,1,0.8264,4.1322,23,3.3058
96,25,2,1.6529,5.7851,24,4.1322
96,26,2,1.6529,7.438,25,5.7851
96,27,2,1.6529,9.0909,26,7.438
96,28,6,4.9587,14.0496,27,9.0909
96,29,8,6.6116,20.6612,28,14.0496
96,30,16,13.2231,33.8843,29,20.6612
96,31,29,23.9669,57.8512,30,33.8843
96,32,33,27.2727,85.124,31,57.8512
96,33,7,5.7851,90.9091,32,85.124
96,34,11,9.0909,100,33,90.9091
108,22,2,1.8349,1.8349,NA,NA
108,23,1,0.9174,2.7523,22,1.8349
108,24,2,1.8349,4.5872,23,2.7523
108,25,2,1.8349,6.422,24,4.5872
108,27,2,1.8349,8.2569,25,6.422
108,28,6,5.5046,13.7615,27,8.2569
108,29,5,4.5872,18.3486,28,13.7615
108,30,8,7.3394,25.6881,29,18.3486
108,31,23,21.1009,46.789,30,25.6881
108,32,31,28.4404,75.2294,31,46.789
108,33,11,10.0917,85.3211,32,75.2294
108,34,16,14.6789,100,33,85.3211
120,23,2,1.9231,1.9231,NA,NA
120,24,1,0.9615,2.8846,23,1.9231
120,25,2,1.9231,4.8077,24,2.8846
120,26,2,1.9231,6.7308,25,4.8077
120,27,2,1.9231,8.6538,26,6.7308
120,28,2,1.9231,10.5769,27,8.6538
120,29,4,3.8462,14.4231,28,10.5769
120,30,4,3.8462,18.2692,29,14.4231
120,31,13,12.5,30.7692,30,18.2692
120,32,35,33.6538,64.4231,31,30.7692
120,33,11,10.5769,75,32,64.4231
120,34,26,25,100,33,75
132,23,2,1.8692,1.8692,NA,NA
132,27,1,0.9346,2.8037,23,1.8692
132,28,3,2.8037,5.6075,27,2.8037
132,29,2,1.8692,7.4766,28,5.6075
132,30,3,2.8037,10.2804,29,7.4766
132,31,12,11.215,21.4953,30,10.2804
132,32,23,21.4953,42.9907,31,21.4953
132,33,13,12.1495,55.1402,32,42.9907
132,34,48,44.8598,100,33,55.1402
144,21,2,2.2472,2.2472,NA,NA
144,23,1,1.1236,3.3708,21,2.2472
144,26,1,1.1236,4.4944,23,3.3708
144,27,1,1.1236,5.618,26,4.4944
144,29,2,2.2472,7.8652,27,5.618
144,30,2,2.2472,10.1124,29,7.8652
144,31,7,7.8652,17.9775,30,10.1124
144,32,25,28.0899,46.0674,31,17.9775
144,33,11,12.3596,58.427,32,46.0674
144,34,37,41.573,100,33,58.427
156,26,1,1.4925,1.4925,NA,NA
156,29,2,2.9851,4.4776,26,1.4925
156,30,2,2.9851,7.4627,29,4.4776
156,31,4,5.9701,13.4328,30,7.4627
156,32,9,13.4328,26.8657,31,13.4328
156,33,8,11.9403,38.806,32,26.8657
156,34,41,61.194,100,33,38.806
180,18,1,1.6949,1.6949,NA,NA
180,26,2,3.3898,5.0847,18,1.6949
180,27,1,1.6949,6.7797,26,5.0847
180,28,1,1.6949,8.4746,27,6.7797
180,30,1,1.6949,10.1695,28,8.4746
180,31,2,3.3898,13.5593,30,10.1695
180,32,3,5.0847,18.6441,31,13.5593
180,33,5,8.4746,27.1186,32,18.6441
180,34,43,72.8814,100,33,27.1186
204,29,1,1.6129,1.6129,NA,NA
204,33,3,4.8387,6.4516,29,1.6129
204,34,58,93.5484,100,33,6.4516
228,24,1,2.1739,2.1739,NA,NA
228,29,1,2.1739,4.3478,24,2.1739
228,33,3,6.5217,10.8696,29,4.3478
228,34,41,89.1304,100,33,10.8696
