ID,agestrat,PHYscoreCR
102004,0,25
102008,0,37
102033,0,33
101044,2,17
104012,2,19
104011,4,30
104019,6,30
104031,6,31
101028,12,30
102036,12,15
101041,14,23
102007,14,25
104021,14,26
108018,14,37
102005,16,26
102023,16,30
104022,16,26
104029,16,4
108005,16,37
108006,16,37
108021,16,37
107050,20,31
108034,20,14
102003,22,14
101040,24,28
101046,24,33
102002,24,19
102037,24,31
104052,24,25
104053,24,36
107034,24,36
107051,24,37
108022,24,37
108024,24,37
101042,28,17
101048,28,20
101051,28,26
102029,28,9
104016,28,2
108017,28,37
108026,28,37
108029,28,21
109006,28,21
101003,32,22
101017,32,22
101033,32,34
101049,32,21
102006,32,30
107035,32,33
108004,32,37
101007,36,20
101013,36,18
104007,36,23
104015,36,29
104018,36,20
105001,36,31
105008,36,19
109009,36,16
101039,42,6
105013,42,23
105014,42,23
105042,42,27
107049,42,32
109008,42,18
101008,48,27
101019,48,26
101027,48,35
101036,48,26
104028,48,28
105002,48,21
105012,48,25
105020,48,25
108033,48,31
108038,48,33
101025,54,30
104003,54,33
104040,54,32
105006,54,24
105010,54,23
107046,54,37
108015,54,37
101015,60,31
101029,60,34
101031,60,33
101034,60,31
101037,60,10
101043,60,26
101050,60,27
104005,60,17
104024,60,26
104025,60,24
107037,60,37
107048,60,37
108009,60,37
108010,60,37
108025,60,37
108031,60,21
109005,60,20
104006,66,26
104030,66,22
105033,66,16
105043,66,26
101023,72,35
101024,72,36
101047,72,34
102001,72,37
102009,72,12
104004,72,28
105034,72,33
105035,72,36
107021,72,36
107036,72,37
108016,72,37
109007,72,20
101002,78,21
101018,78,27
101045,78,23
104014,78,35
107008,78,15
107052,78,21
108007,78,37
108037,78,37
109003,78,32
101009,84,14
101014,84,20
101038,84,29
104017,84,17
107039,84,35
107054,84,17
108003,84,37
101021,96,29
101030,96,35
101032,96,24
102010,96,36
102011,96,32
104023,96,24
108013,96,37
108020,96,37
108039,96,30
108043,96,36
109002,96,23
101001,108,13
107020,108,35
107055,108,7
108014,108,37
108041,108,29
109004,108,24
101010,120,17
101020,120,19
101035,120,19
104020,120,20
107019,120,33
108008,120,37
108028,120,24
102018,132,36
107004,132,37
107016,132,34
107026,132,37
107027,132,37
107030,132,37
107032,132,37
107040,132,23
107041,132,36
107042,132,37
108001,132,37
108027,132,32
108045,132,34
104002,132,21
107006,132,15
107038,132,37
101005,156,19
101012,156,24
102022,156,30
102027,156,16
102032,156,32
102040,156,26
104043,156,24
105022,156,29
107007,156,14
107017,156,24
107028,156,16
107056,156,6
107057,156,16
107058,156,22
108002,156,37
108044,156,32
101006,156,22
101011,156,20
101022,156,34
101026,156,27
102015,156,30
102017,156,34
102020,156,30
102021,156,32
102024,156,19
102026,156,26
102034,156,11
102035,156,8
104001,156,18
104026,156,24
107003,156,23
107005,156,31
107010,156,30
107014,156,35
107018,156,34
107022,156,37
107023,156,32
107024,156,24
107025,156,11
107029,156,37
107031,156,37
107033,156,35
107044,156,36
107045,156,37
107047,156,37
108012,156,37
108023,156,37
108042,156,26
102012,204,28
102013,204,30
102014,204,14
102019,204,33
104027,204,19
105027,204,24
105030,204,25
107001,204,37
107009,204,27
107015,204,36
107060,204,37
109001,204,24
101004,204,26
102016,204,34
102025,204,24
102028,204,1
102030,204,20
102031,204,26
102038,204,12
102039,204,18
104041,204,29
105026,204,32
107002,204,17
107011,204,31
107012,204,22
107013,204,35
107053,204,10
107059,204,9
108019,204,37
